08:00:25.726  异常信息：由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。 192.168.1.188:80
  堆栈信息:   在 AutoUpdate.AppUpdate.DownloadFile(String url, String localFilePath) 位置 D:\ProjectData\MoXia\Carpenter\Carpenter\AppUpdate.cs:行号 242
   在 AutoUpdate.AppUpdate.CheckAppVersion(String& msg) 位置 D:\ProjectData\MoXia\Carpenter\Carpenter\AppUpdate.cs:行号 310
08:00:31.026 @EMP002 系统管理员
08:00:31.028 @EMP009 d2f278e251d1566edd72846d4ad97f
08:01:22.085 @PST001 1746
08:01:22.086 @PST002 59-1.002.04.005
08:01:22.087 @PST030 True
08:01:22.095 @PST001 1746
08:01:22.099 @PST002 59-1.002.04.011
08:01:22.100 @PST030 True
08:01:22.103 @PST001 1748
08:01:22.105 @PST002 61-1.003.01.006-1
08:01:22.106 @PST030 True
08:01:22.108 @PST001 1746
08:01:22.110 @PST002 58-1.004.01.001
08:01:22.111 @PST030 True
08:01:22.113 @PST001 1748
08:01:22.114 @PST002 61-1.002.02.005-1
08:01:22.115 @PST030 True
08:01:22.118 @PST001 1746
08:01:22.120 @PST002 59-1.001.02.002-1
08:01:22.121 @PST030 True
08:01:22.123 @PST001 1748
08:01:22.125 @PST002 61-1.004.04.002
08:01:22.126 @PST030 True
08:01:22.128 @PST001 1746
08:01:22.129 @PST002 59-1.009.01.005
08:01:22.130 @PST030 True
08:01:22.132 @PST001 1748
08:01:22.134 @PST002 61-1.001.02.002
08:01:22.135 @PST030 True
08:01:22.138 @PST001 1746
08:01:22.139 @PST002 59-1.001.01.001
08:01:22.140 @PST030 True
08:01:22.142 @PST001 1748
08:01:22.143 @PST002 61-1.002.04.007
08:01:22.144 @PST030 True
08:01:22.147 @PST001 1746
08:01:22.148 @PST002 59-1.003.01.003
08:01:22.149 @PST030 True
08:01:22.153 @PST001 1748
08:01:22.154 @PST002 58-1.002.06.005
08:01:22.155 @PST030 True
08:01:22.158 @PST001 1746
08:01:22.160 @PST002 51-1.005.06.002
08:01:22.161 @PST030 True
08:01:22.164 @PST001 1748
08:01:22.165 @PST002 61-1.003.03.013
08:01:22.166 @PST030 True
08:01:22.169 @REV001 FormPlanStock
08:01:22.171 @REV002 20171211001
08:01:22.172 @REV003 00001
08:01:22.173 @REV004 2018/8/6 8:01:22
08:01:22.174 @REV005 审核
08:01:22.175 @REV006 
08:01:22.179 @PST001 1748
08:01:22.181 @PST002 61-1.002.01.005
08:01:22.182 @PST030 True
08:01:22.185 @PST001 1748
08:01:22.186 @PST002 61-1.003.03.002-2
08:01:22.187 @PST030 True
08:01:22.189 @PST001 1748
08:01:22.191 @PST002 61-1.001.03.001
08:01:22.192 @PST030 True
08:01:22.194 @PST001 1748
08:01:22.195 @PST002 61-1.005.12.012
08:01:22.196 @PST030 True
08:01:22.198 @PST001 1748
08:01:22.199 @PST002 61-1.002.02.006
08:01:22.200 @PST030 True
08:01:22.203 @PST001 1748
08:01:22.204 @PST002 61-1.005.10.001
08:01:22.205 @PST030 True
08:01:22.207 @PST001 1748
08:01:22.208 @PST002 61-1.005.10.004
08:01:22.209 @PST030 True
08:01:22.212 @PST001 1746
08:01:22.213 @PST002 51-1.001.01.002
08:01:22.214 @PST030 True
08:01:22.217 @PST001 1746
08:01:22.219 @PST002 59-1.002.04.009
08:01:22.220 @PST030 True
08:01:22.222 @PST001 1748
08:01:22.224 @PST002 61-1.005.12.001
08:01:22.225 @PST030 True
08:01:22.227 @PST001 1748
08:01:22.228 @PST002 61-1.004.01.006
08:01:22.229 @PST030 True
08:01:22.231 @PST001 1748
08:01:22.233 @PST002 61-1.003.01.005
08:01:22.234 @PST030 True
08:01:22.237 @PST001 1746
08:01:22.238 @PST002 58-1.001.01.004
08:01:22.239 @PST030 True
08:01:22.241 @PST001 1746
08:01:22.243 @PST002 59-1.003.03.010
08:01:22.244 @PST030 True
08:01:22.246 @PST001 1748
08:01:22.247 @PST002 61-1.005.12.013
08:01:22.248 @PST030 True
08:01:22.250 @PST001 1746
08:01:22.252 @PST002 59-1.003.03.009
08:01:22.253 @PST030 True
08:01:22.255 @PST001 1748
08:01:22.257 @PST002 61-1.006.04.001
08:01:22.258 @PST030 True
08:01:22.260 @PST001 1746
08:01:22.262 @PST002 51-1.005.06.006
08:01:22.263 @PST030 True
08:01:22.265 @PST001 1748
08:01:22.266 @PST002 61-1.002.01.007
08:01:22.267 @PST030 True
08:01:22.271 @PST001 1746
